,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
153,ANXA3_MOUSE,LT-Ctrl,-0.359894137098665,0.362760299081282,-0.992099019683588,5.0,0.366702564689299,0.9329104309199262,,0.423611111111111,0.423611111111111
154,ANXA4_MOUSE,LT-Ctrl,-0.265201516621407,0.598226418336931,-0.443312947226014,1.0,0.73435189063476,1.0,,0.703703703703704,0.037037037037037
155,ANXA5_MOUSE,LT-Ctrl,-0.0523793975921947,0.392596206329936,-0.133417992195715,2.0,0.906076276141237,1.0,,0.361111111111111,0.0277777777777778
156,ANXA6_MOUSE,LT-Ctrl,0.0408434118979848,0.347599916675824,0.117501213143488,6.0,0.910297583738718,1.0,,0.450980392156863,0.339869281045752
157,AOFA_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.666666666666667,0.0
158,AOFB_MOUSE,LT-Ctrl,inf,,,,,1.0,oneConditionMissing,0.648148148148148,0.0925925925925926
159,AOXA_MOUSE,LT-Ctrl,-0.100347183347171,0.0791604445594296,-1.26764299904652,0.0,,1.0,,0.555555555555556,0.0
160,AP1G1_MOUSE,LT-Ctrl,-1.37250618575719,0.148054353424684,-9.27028590520571,2.0,0.0114370250156488,0.25394040636153703,,0.407407407407407,0.0740740740740741
161,AP1M1_MOUSE,LT-Ctrl,0.207089046588539,0.528163016031768,0.392093047605747,3.0,0.72118433368582,1.0,,0.311111111111111,0.0888888888888889
162,AP2A1_MOUSE;AP2A2_MOUSE,LT-Ctrl,inf,,,,,1.0,oneConditionMissing,0.777777777777778,0.0
163,AP2B1_MOUSE,LT-Ctrl,-0.732299905771716,0.749189132655343,-0.977456657941945,3.0,0.400429273812421,0.9742978081801883,,0.444444444444444,0.111111111111111
164,AP2S1_MOUSE,LT-Ctrl,0.094326621268462,0.533621940413307,0.176766759618997,2.0,0.875972129501024,1.0,,0.555555555555556,0.111111111111111
165,AP3B1_MOUSE,LT-Ctrl,-0.6977402767463,0.672666026518471,-1.03727592778486,2.0,0.408567379938479,0.9795880072653849,,0.5,0.277777777777778
166,AP3B1_MOUSE;AP3B2_MOUSE,LT-Ctrl,inf,,,,,1.0,oneConditionMissing,0.805555555555556,0.0277777777777778
167,AP3B2_MOUSE,LT-Ctrl,-0.465615819920489,0.303399513889834,-1.53466237948409,5.0,0.185455143468074,0.6992903021327399,,0.452380952380952,0.452380952380952
168,AP3D1_MOUSE,LT-Ctrl,-0.740435653984736,0.447111564935837,-1.65604227681069,4.0,0.173054756669942,0.6866995272463735,,0.565656565656566,0.343434343434343
169,APC1_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.703703703703704,0.037037037037037
170,APEH_MOUSE,LT-Ctrl,inf,,,,,1.0,oneConditionMissing,0.777777777777778,0.0
171,API5_MOUSE,LT-Ctrl,-0.870818275230461,0.196245236418375,-4.43739828351279,3.0,0.0212755320019069,0.30830922571587055,,0.222222222222222,0.0
172,APOA1_MOUSE,LT-Ctrl,0.333646456082707,0.520202529590889,0.641377996268303,2.0,0.586969128292383,1.0,,0.511111111111111,0.177777777777778
173,APOB_MOUSE,LT-Ctrl,2.39959536704651,0.312359961095194,7.68214773312515,4.0,0.001544140032917,0.14813198167394676,,0.53968253968254,0.317460317460317
174,APOE_MOUSE,LT-Ctrl,,,,,,1.0,,,
175,AQP1_MOUSE,LT-Ctrl,-0.393001237390461,0.376213946454424,-1.04462166034579,3.0,0.372959805710212,0.9408370552787872,,0.185185185185185,0.0740740740740741
176,AR2BP_MOUSE,LT-Ctrl,-0.113746883343332,0.386613198554602,-0.294213657910769,3.0,0.787777170674233,1.0,,0.314814814814815,0.203703703703704
177,ARAF_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.577777777777778,0.133333333333333
178,ARAP1_MOUSE,LT-Ctrl,-0.281670166445634,0.452079007403847,-0.623055178038857,3.0,0.577402119434259,1.0,,0.703703703703704,0.259259259259259
179,ARC1A_MOUSE,LT-Ctrl,-0.935131912130528,0.449542087260629,-2.08018768126681,1.0,0.285275521701819,0.8313935783064959,,0.694444444444444,0.0277777777777778
180,ARFG1_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.694444444444444,0.0277777777777778
181,ARFG2_MOUSE,LT-Ctrl,-0.76205604536184,0.476138843269962,-1.60049123513699,6.0,0.160607639440433,0.6718670226260236,,0.483660130718954,0.372549019607843
