,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
1605,NUP85_MOUSE,ST-Ctrl,-0.414308060502479,0.0137857023216364,-30.0534605228078,1.0,0.0211750983165608,0.39722658579818426,,0.65,0.05
1606,NUP88_MOUSE,ST-Ctrl,0.344345291059838,0.5303836356374,0.649238151260104,1.0,0.633409211608158,1.0,,0.383333333333333,0.0833333333333333
1607,NVL_MOUSE,ST-Ctrl,-inf,,,,,1.0,oneConditionMissing,,
1608,NXP20_MOUSE,ST-Ctrl,0.190066705458998,0.47352585458138,0.401386119934309,0.0,,1.0,,0.6,0.1
1609,OARD1_MOUSE,ST-Ctrl,0.144853700145476,0.158184091218489,0.915728623717278,0.0,,1.0,,0.7,0.0
1610,OAT_MOUSE,ST-Ctrl,-0.562293527429108,0.689475720774142,-0.815537821691191,2.0,0.500440532213446,1.0,,0.68,0.08
1611,OBSCN_MOUSE,ST-Ctrl,1.71077310534807,0.81382119356151,2.10214862783463,7.0,0.0736372020536793,0.5633773559355703,,0.654867256637168,0.654867256637168
1612,OCTC_MOUSE,ST-Ctrl,-0.462619933659271,0.450269143662302,-1.02742979431482,3.0,0.379814920976643,0.9449495041244813,,0.44,0.14
1613,ODB2_MOUSE,ST-Ctrl,0.38441807017981,0.391867470049154,0.980990001878928,3.0,0.39893773791934,0.965308224129698,,0.777777777777778,0.377777777777778
1614,ODBA_MOUSE,ST-Ctrl,inf,,,,,1.0,oneConditionMissing,,
1615,ODBB_MOUSE,ST-Ctrl,0.127071995195025,0.225408965375651,0.563739756239312,4.0,0.603036526138373,1.0,,0.56875,0.36875
1616,ODO1_MOUSE,ST-Ctrl,1.23881442702078,0.272464025253524,4.54670823374969,7.0,0.0026464529384209,0.19728883205902584,,0.563157894736842,0.563157894736842
1617,ODPB_MOUSE,ST-Ctrl,,,,,,1.0,,,
1618,OFUT1_MOUSE,ST-Ctrl,-0.0044398244070587,0.0024267454385964,-1.82953858136292,0.0,,1.0,,0.7,0.0
1619,OGA_MOUSE,ST-Ctrl,0.545850457422168,0.257336409342993,2.12115517899617,4.0,0.101210327475562,0.6363864758937303,,0.533333333333333,0.233333333333333
