,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
108,AL3A2_MOUSE,ST-LT,-0.0169754501927883,0.227492754321889,-0.0746197400589254,5.0,0.943410699967757,1.0,,0.711111111111111,0.488888888888889
109,AL3B1_MOUSE,ST-LT,0.415414891001207,0.0145494531425623,28.5519247308322,1.0,0.0222878023616222,0.5574921007577637,,0.296296296296296,0.0740740740740741
110,ALAT1_MOUSE,ST-LT,-0.391717239070342,0.0044655827527852,-87.7191759185336,1.0,0.0072571611555449,0.43687359246201984,,0.577777777777778,0.0222222222222222
111,ALAT2_MOUSE,ST-LT,0.241011041651749,0.0004427402513875,544.362164714917,0.0,,1.0,,0.577777777777778,0.0222222222222222
112,ALDOA_MOUSE,ST-LT,-inf,,,,,1.0,oneConditionMissing,,
113,ALDOB_MOUSE,ST-LT,-inf,,,,,1.0,oneConditionMissing,0.5625,0.0069444444444444
114,ALDOC_MOUSE,ST-LT,4.26331480470332e-05,0.197376119985677,0.0002159995244111,2.0,0.999847265273337,1.0,,0.25,0.0277777777777778
115,ALDR_MOUSE,ST-LT,-0.232067643466686,0.159545228602963,-1.45455709016657,0.0,,1.0,,0.694444444444444,0.0277777777777778
116,ALG1_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,,
117,ALG3_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.466666666666667,0.0222222222222222
118,ALS2_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,,
119,AMBP_MOUSE,ST-LT,,,,,,1.0,,,
120,AMD_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.577777777777778,0.0222222222222222
121,AMFR_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.888888888888889,0.0
122,AMPD1_MOUSE,ST-LT,0.176740290217281,0.342897850571355,0.515431315544227,3.0,0.641828521288827,1.0,,0.244444444444444,0.0222222222222222
123,AMPD3_MOUSE,ST-LT,0.0153873195849062,0.253200078045397,0.0607713856318299,7.0,0.95323996304262,1.0,,0.490196078431373,0.490196078431373
124,AMPE_MOUSE,ST-LT,1.29746287322005,1.1608745141055,1.11765988266164,0.0,,1.0,,0.777777777777778,0.0
125,AMPN_MOUSE,ST-LT,0.0120351114410688,0.21433066899549,0.0561520733242432,2.0,0.960325749635186,1.0,,0.488888888888889,0.0444444444444444
126,AMY1_MOUSE,ST-LT,-1.20386022299867,0.201151439461263,-5.98484518044179,1.0,0.105398308709688,0.7614715771069984,,0.288888888888889,0.0666666666666667
127,AMYP_MOUSE,ST-LT,-inf,,,,,1.0,oneConditionMissing,,
128,AN13A_MOUSE,ST-LT,1.15013280613048,0.594148936355365,1.93576515206042,2.0,0.192532570025759,0.886990938324766,,0.688888888888889,0.244444444444444
129,AN13C_MOUSE,ST-LT,0.942745241499659,0.663633599625605,1.42058093808318,1.0,0.390479398584584,1.0,,0.577777777777778,0.0222222222222222
130,AN32A_MOUSE,ST-LT,-inf,,,,,1.0,oneConditionMissing,0.777777777777778,0.0
131,AN34B_MOUSE,ST-LT,-0.714800807387158,0.754905638707413,-0.946874378380689,0.0,,1.0,,0.666666666666667,0.0
132,ANC2_MOUSE,ST-LT,,,,,,1.0,,,
133,ANCHR_MOUSE,ST-LT,0.304138560686729,0.742465870532233,0.409633052181521,5.0,0.699034021069663,1.0,,0.597222222222222,0.486111111111111
134,ANFY1_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.444444444444444,0.0
