Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
PCP_MOUSE,ST-Ctrl,-0.582935353776729,0.229413252488216,-2.54098378125157,3.0,0.0846067066588407,0.271785768755973,,0.32,0.22
PCP4_MOUSE,ST-Ctrl,-0.424239920812673,0.272253596404919,-1.55825277026536,7.0,0.16313366499391,0.387320764712736,,0.0,0.0
PCS1N_MOUSE,ST-Ctrl,0.0691700995608244,0.248785737556158,0.278030807715458,7.0,0.789021734332874,0.881152950954602,,0.0055555555555555,0.0055555555555555
PCX4_MOUSE,ST-Ctrl,-0.33558524328992,0.269794032027064,-1.24385717789434,2.0,0.339566854102507,0.562578042043713,,0.3,0.0
PCY1A_MOUSE,ST-Ctrl,-0.485897994253916,0.0878547590544662,-5.53069633885946,7.0,0.0008775898872097,0.0365263442157222,,0.009090909090909,0.009090909090909
PCY1A_MOUSE;PCY1B_MOUSE,ST-Ctrl,-0.319326884095273,0.14254119646064,-2.24024276506931,7.0,0.0600563707236836,0.226635491145608,,0.0,0.0
PCY1B_MOUSE,ST-Ctrl,-0.116962193787895,0.124649506025699,-0.93832857840432,7.0,0.379314260056216,0.590162130869587,,0.183333333333333,0.183333333333333
PDC10_MOUSE,ST-Ctrl,-0.655118451280811,0.289107080706471,-2.26600624820375,7.0,0.0578169850756507,0.22361663216299,,0.194117647058824,0.194117647058824
PDCD2_MOUSE,ST-Ctrl,-0.17066369706089,0.108694883945746,-1.57011711007553,6.0,0.167441380571439,0.391449678894594,,0.04,0.04
PDCD4_MOUSE,ST-Ctrl,-0.333236997255047,0.151149782789717,-2.20468062278761,7.0,0.0632922220766603,0.234088762926293,,0.0777777777777777,0.0777777777777778
PDCD5_MOUSE,ST-Ctrl,0.112862043978473,0.160882485036693,0.701518527344552,7.0,0.505626051024118,0.689118109699597,,0.2,0.2
PDCL3_MOUSE,ST-Ctrl,-0.470034958649904,0.162609048382415,-2.89058304765736,7.0,0.0232968551050199,0.14023794951033,,0.1,0.1
PDE1A_MOUSE;PDE1B_MOUSE;PDE1C_MOUSE,ST-Ctrl,0.379232685330111,0.193346136357406,1.96141848228655,7.0,0.0906300779624614,0.282233755309405,,0.0,0.0
PDE1B_MOUSE,ST-Ctrl,0.36342099251048,0.926823422454395,0.392114596702871,0.0,,,,0.6,0.0
PDE2A_MOUSE,ST-Ctrl,-inf,,,,,0.0,oneConditionMissing,,
PDIA5_MOUSE,ST-Ctrl,-0.721837355421354,0.26391320602237,-2.73513162262963,5.0,0.0410289401103368,0.185496100985857,,0.1,0.0
PDIP2_MOUSE,ST-Ctrl,-0.177077561781147,0.174000938497919,-1.01768164763815,7.0,0.342706501754673,0.566431814472857,,0.346153846153846,0.346153846153846
PDK1_MOUSE,ST-Ctrl,0.410521747098974,0.214483868326313,1.91399824286278,7.0,0.0971842368832356,0.29323737781128,,0.265,0.265
PDK1_MOUSE;PDK3_MOUSE,ST-Ctrl,0.21661242609393,0.164999332470209,1.31280789352914,7.0,0.230647420121432,0.45882361788442,,0.05,0.05
PDK4_MOUSE,ST-Ctrl,-0.420486938650616,0.438935496959922,-0.957969773606644,6.0,0.375070784638466,0.587168147958475,,0.48,0.38
PDLI2_MOUSE,ST-Ctrl,-inf,,,,,0.0,oneConditionMissing,0.816666666666667,0.0166666666666667
PDP1_MOUSE,ST-Ctrl,0.389200903079535,0.292986316459417,1.32839276517354,7.0,0.225718601815178,0.453554333373212,,0.2375,0.2375
PDS5A_MOUSE,ST-Ctrl,-0.789103811302022,0.190822908102894,-4.13526771574263,7.0,0.0043750160144384,0.0660749094061251,,0.158333333333333,0.158333333333333
PDS5B_MOUSE,ST-Ctrl,-0.338195228268141,0.272345701626684,-1.24178654646703,7.0,0.254306328052728,0.480816784539611,,0.2,0.2
PDZD8_MOUSE,ST-Ctrl,-0.234663571811924,0.0799920225329519,-2.93358718008732,7.0,0.0219121727782898,0.1361225457338,,0.233333333333333,0.233333333333333
PECA1_MOUSE,ST-Ctrl,-0.0546050887262417,0.235502890541623,-0.231865896000927,7.0,0.823274627925802,0.902469769857385,,0.172727272727273,0.172727272727273
PECR_MOUSE,ST-Ctrl,0.374731277019081,0.261339993167683,1.43388416168911,5.0,0.211059242263736,0.43910134315855,,0.375,0.175
PELO_MOUSE,ST-Ctrl,-0.013641695723976,0.232901862787372,-0.0585727205472384,7.0,0.954929456911744,0.979122951388138,,0.208333333333333,0.208333333333333
PELP1_MOUSE,ST-Ctrl,-0.663526093164798,0.383120260207781,-1.73190029889033,4.0,0.158330288957511,0.381774766014432,,0.5,0.3
PERE_MOUSE,ST-Ctrl,-inf,,,,,0.0,oneConditionMissing,,
PERE_MOUSE;PERM_MOUSE,ST-Ctrl,-2.98410639811367,0.402537069413934,-7.41324619483696,0.0,,,,0.427272727272727,0.0272727272727273
PERI_MOUSE;VIME_MOUSE,ST-Ctrl,0.233672830324956,0.111086444277507,2.1035224580707,7.0,0.0734879740490824,0.256150197405124,,0.0,0.0
PEX14_MOUSE,ST-Ctrl,-0.356866145190463,0.352380746732338,-1.01272884089076,7.0,0.34490802742368,0.567388035970646,,0.18,0.18
PEX5_MOUSE,ST-Ctrl,0.573195231451061,0.193275396641182,2.96569165766714,0.0,,,,0.62,0.02
PEX7_MOUSE,ST-Ctrl,0.242552597685363,0.207552700195032,1.168631376308,0.0,,,,0.575,0.075
PFD1_MOUSE,ST-Ctrl,-0.338500382749893,0.507757430094732,-0.666657665032571,7.0,0.526346100822721,0.705263757677172,,0.0,0.0
PFD2_MOUSE,ST-Ctrl,-0.153434474745387,0.0912047016174007,-1.68230882865049,7.0,0.136389328872716,0.354663194127464,,0.0823529411764706,0.0823529411764706
PFD5_MOUSE,ST-Ctrl,-0.0884384567591339,0.135517434616958,-0.652598368683017,7.0,0.534851326529393,0.708324768967243,,0.0222222222222223,0.0222222222222222
PFKAL_MOUSE;PFKAM_MOUSE,ST-Ctrl,0.674826569598649,0.173374451664618,3.89230687174173,7.0,0.0059576459820749,0.0728631392148208,,0.0,0.0
PFKAL_MOUSE;PFKAM_MOUSE;PFKAP_MOUSE,ST-Ctrl,0.603314371855275,0.111812967445399,5.39574600012191,7.0,0.0010130953374196,0.0365263442157222,,0.0,0.0
PFKAL_MOUSE;PFKAP_MOUSE,ST-Ctrl,0.182999253484094,0.0779746635988541,2.3469066109159,7.0,0.0513205891654698,0.207731625942149,,0.075,0.075
PGAM1_MOUSE;PGAM2_MOUSE,ST-Ctrl,0.364409030627868,0.346118496869033,1.05284471625842,7.0,0.327392376525329,0.550929165331142,,0.3,0.3
PGAM5_MOUSE,ST-Ctrl,-0.380276031876423,0.0013883723080927,-273.900617046164,0.0,,,,0.58,0.08
PGAP1_MOUSE,ST-Ctrl,-0.157837867497858,0.234531850164642,-0.672991183871424,7.0,0.522542418099645,0.701340064774704,,0.1,0.1
PGGHG_MOUSE,ST-Ctrl,-inf,,,,,0.0,oneConditionMissing,,
PGH1_MOUSE,ST-Ctrl,0.217156400250876,0.364403516623307,0.595922899600764,2.0,0.611685886142558,0.761963140149641,,0.333333333333333,0.133333333333333
PGLT1_MOUSE,ST-Ctrl,-0.23241253722126,0.173339074476128,-1.3407971510386,7.0,0.22186162720617,0.449697694155155,,0.123529411764706,0.123529411764706
